data_type,timestamp,EEG1,EEG2,EEG3,EEG4
alpha_absolute,1592897214588040,0.0,0.0,0.0,0.0
beta_absolute,1592897214590733,0.0,0.0,0.0,0.0
theta_absolute,1592897214592039,0.0,0.0,0.0,0.0
alpha_relative,1592897214593110,NaN,NaN,NaN,NaN
beta_relative,1592897214595486,NaN,NaN,NaN,NaN
theta_relative,1592897214597102,NaN,NaN,NaN,NaN
isGood,1592897214598617,0.0,0.0,0.0,0.0
quality,1592897214599334,4.0,4.0,4.0,4.0
alpha_absolute,1592897214652748,0.0,0.0,0.0,0.0
beta_absolute,1592897214653448,0.0,0.0,0.0,0.0
theta_absolute,1592897214653904,0.0,0.0,0.0,0.0
alpha_relative,1592897214654368,NaN,NaN,NaN,NaN
beta_relative,1592897214655098,NaN,NaN,NaN,NaN
theta_relative,1592897214655873,NaN,NaN,NaN,NaN
isGood,1592897214656690,0.0,0.0,0.0,0.0
quality,1592897214656969,4.0,4.0,4.0,4.0
alpha_absolute,1592897214805216,0.0,0.0,0.0,0.0
beta_absolute,1592897214807709,0.0,0.0,0.0,0.0
theta_absolute,1592897214809740,0.0,0.0,0.0,0.0
alpha_relative,1592897214811048,NaN,NaN,NaN,NaN
beta_relative,1592897214812493,NaN,NaN,NaN,NaN
theta_relative,1592897214813842,NaN,NaN,NaN,NaN
isGood,1592897214814986,0.0,0.0,0.0,0.0
quality,1592897214815460,4.0,4.0,4.0,4.0
alpha_absolute,1592897214850864,0.0,0.0,0.0,0.0
beta_absolute,1592897214851537,0.0,0.0,0.0,0.0
theta_absolute,1592897214852029,0.0,0.0,0.0,0.0
alpha_relative,1592897214852521,NaN,NaN,NaN,NaN
beta_relative,1592897214853262,NaN,NaN,NaN,NaN
theta_relative,1592897214854047,NaN,NaN,NaN,NaN
isGood,1592897214854757,0.0,0.0,0.0,0.0
quality,1592897214854991,4.0,4.0,4.0,4.0
alpha_absolute,1592897214948365,0.0,0.0,0.0,0.0
beta_absolute,1592897214949078,0.0,0.0,0.0,0.0
theta_absolute,1592897214949607,0.0,0.0,0.0,0.0
alpha_relative,1592897214950040,NaN,NaN,NaN,NaN
beta_relative,1592897214950796,NaN,NaN,NaN,NaN
theta_relative,1592897214951541,NaN,NaN,NaN,NaN
isGood,1592897214952301,0.0,0.0,0.0,0.0
quality,1592897214952536,4.0,4.0,4.0,4.0
alpha_absolute,1592897215087988,0.0,0.0,0.0,0.0
beta_absolute,1592897215089157,0.0,0.0,0.0,0.0
theta_absolute,1592897215090395,0.0,0.0,0.0,0.0
alpha_relative,1592897215091387,NaN,NaN,NaN,NaN
beta_relative,1592897215092866,NaN,NaN,NaN,NaN
theta_relative,1592897215094203,NaN,NaN,NaN,NaN
isGood,1592897215095432,0.0,0.0,0.0,0.0
quality,1592897215095912,4.0,4.0,4.0,4.0
alpha_absolute,1592897215194547,0.0,0.0,0.0,0.0
beta_absolute,1592897215195530,0.0,0.0,0.0,0.0
theta_absolute,1592897215196327,0.0,0.0,0.0,0.0
alpha_relative,1592897215197061,NaN,NaN,NaN,NaN
beta_relative,1592897215197981,NaN,NaN,NaN,NaN
theta_relative,1592897215198826,NaN,NaN,NaN,NaN
isGood,1592897215205030,0.0,0.0,0.0,0.0
quality,1592897215207180,4.0,4.0,4.0,4.0
alpha_absolute,1592897215304046,0.0,0.0,0.0,0.0
beta_absolute,1592897215304854,0.0,0.0,0.0,0.0
theta_absolute,1592897215306539,0.0,0.0,0.0,0.0
alpha_relative,1592897215307296,NaN,NaN,NaN,NaN
beta_relative,1592897215308199,NaN,NaN,NaN,NaN
theta_relative,1592897215308904,NaN,NaN,NaN,NaN
isGood,1592897215309661,0.0,0.0,0.0,0.0
quality,1592897215309966,4.0,4.0,4.0,4.0
alpha_absolute,1592897215380231,0.0,0.0,0.0,0.0
beta_absolute,1592897215380901,0.0,0.0,0.0,0.0
theta_absolute,1592897215381380,0.0,0.0,0.0,0.0
alpha_relative,1592897215381815,NaN,NaN,NaN,NaN
beta_relative,1592897215382586,NaN,NaN,NaN,NaN
theta_relative,1592897215383386,NaN,NaN,NaN,NaN
isGood,1592897215384118,0.0,0.0,0.0,0.0
quality,1592897215384365,4.0,4.0,4.0,4.0
alpha_absolute,1592897215513096,0.0,0.0,0.0,0.0
beta_absolute,1592897215514455,0.0,0.0,0.0,0.0
theta_absolute,1592897215516926,0.0,0.0,0.0,0.0
alpha_relative,1592897215518219,NaN,NaN,NaN,NaN
beta_relative,1592897215519558,NaN,NaN,NaN,NaN
theta_relative,1592897215520576,NaN,NaN,NaN,NaN
