data_type,timestamp,value
betaAverage,1592897214594,0.0
alphaAverage,1592897214594,NaN
thetaAverage,1592897214594,0.0
engagementLevel,1592897214594,NaN
fatigureRatio1,1592897214594,NaN
fatigueRatio2,1592897214595,NaN
betaAverage,1592897214596,NaN
alphaAverage,1592897214596,NaN
thetaAverage,1592897214596,0.0
engagementLevel,1592897214596,NaN
fatigureRatio1,1592897214596,NaN
fatigueRatio2,1592897214596,NaN
betaAverage,1592897214597,NaN
alphaAverage,1592897214598,NaN
thetaAverage,1592897214598,NaN
engagementLevel,1592897214598,NaN
fatigureRatio1,1592897214598,NaN
fatigueRatio2,1592897214598,NaN
betaAverage,1592897214654,NaN
alphaAverage,1592897214654,NaN
thetaAverage,1592897214654,NaN
engagementLevel,1592897214654,NaN
fatigureRatio1,1592897214654,NaN
fatigueRatio2,1592897214655,NaN
betaAverage,1592897214655,NaN
alphaAverage,1592897214655,NaN
thetaAverage,1592897214655,NaN
engagementLevel,1592897214655,NaN
fatigureRatio1,1592897214655,NaN
fatigueRatio2,1592897214655,NaN
betaAverage,1592897214656,NaN
alphaAverage,1592897214656,NaN
thetaAverage,1592897214656,NaN
engagementLevel,1592897214656,NaN
fatigureRatio1,1592897214656,NaN
fatigueRatio2,1592897214656,NaN
betaAverage,1592897214811,NaN
alphaAverage,1592897214812,NaN
thetaAverage,1592897214812,NaN
engagementLevel,1592897214812,NaN
fatigureRatio1,1592897214812,NaN
fatigueRatio2,1592897214812,NaN
betaAverage,1592897214813,NaN
alphaAverage,1592897214813,NaN
thetaAverage,1592897214813,NaN
engagementLevel,1592897214813,NaN
fatigureRatio1,1592897214813,NaN
fatigueRatio2,1592897214813,NaN
betaAverage,1592897214814,NaN
alphaAverage,1592897214814,NaN
thetaAverage,1592897214814,NaN
engagementLevel,1592897214814,NaN
fatigureRatio1,1592897214814,NaN
fatigueRatio2,1592897214814,NaN
betaAverage,1592897214852,NaN
alphaAverage,1592897214853,NaN
thetaAverage,1592897214853,NaN
engagementLevel,1592897214853,NaN
fatigureRatio1,1592897214853,NaN
fatigueRatio2,1592897214853,NaN
betaAverage,1592897214853,NaN
alphaAverage,1592897214853,NaN
thetaAverage,1592897214853,NaN
engagementLevel,1592897214853,NaN
fatigureRatio1,1592897214853,NaN
fatigueRatio2,1592897214853,NaN
betaAverage,1592897214854,NaN
alphaAverage,1592897214854,NaN
thetaAverage,1592897214854,NaN
engagementLevel,1592897214854,NaN
fatigureRatio1,1592897214854,NaN
fatigueRatio2,1592897214854,NaN
betaAverage,1592897214950,NaN
alphaAverage,1592897214950,NaN
thetaAverage,1592897214950,NaN
engagementLevel,1592897214950,NaN
fatigureRatio1,1592897214950,NaN
fatigueRatio2,1592897214950,NaN
betaAverage,1592897214951,NaN
alphaAverage,1592897214951,NaN
thetaAverage,1592897214951,NaN
engagementLevel,1592897214951,NaN
fatigureRatio1,1592897214951,NaN
fatigueRatio2,1592897214951,NaN
betaAverage,1592897214951,NaN
alphaAverage,1592897214952,NaN
thetaAverage,1592897214952,NaN
engagementLevel,1592897214952,NaN
fatigureRatio1,1592897214952,NaN
fatigueRatio2,1592897214952,NaN
betaAverage,1592897215092,NaN
alphaAverage,1592897215092,NaN
thetaAverage,1592897215092,NaN
engagementLevel,1592897215092,NaN
fatigureRatio1,1592897215092,NaN
fatigueRatio2,1592897215092,NaN
betaAverage,1592897215093,NaN
alphaAverage,1592897215093,NaN
thetaAverage,1592897215093,NaN
engagementLevel,1592897215093,NaN
fatigureRatio1,1592897215093,NaN
fatigueRatio2,1592897215094,NaN
betaAverage,1592897215094,NaN
alphaAverage,1592897215095,NaN
thetaAverage,1592897215095,NaN
engagementLevel,1592897215095,NaN
fatigureRatio1,1592897215095,NaN
fatigueRatio2,1592897215095,NaN
betaAverage,1592897215197,NaN
alphaAverage,1592897215197,NaN
thetaAverage,1592897215197,NaN
engagementLevel,1592897215197,NaN
fatigureRatio1,1592897215197,NaN
fatigueRatio2,1592897215197,NaN
betaAverage,1592897215198,NaN
alphaAverage,1592897215198,NaN
thetaAverage,1592897215198,NaN
engagementLevel,1592897215198,NaN
fatigureRatio1,1592897215198,NaN
fatigueRatio2,1592897215198,NaN
betaAverage,1592897215199,NaN
alphaAverage,1592897215204,NaN
thetaAverage,1592897215204,NaN
engagementLevel,1592897215204,NaN
fatigureRatio1,1592897215204,NaN
fatigueRatio2,1592897215204,NaN
betaAverage,1592897215307,NaN
alphaAverage,1592897215307,NaN
thetaAverage,1592897215307,NaN
engagementLevel,1592897215307,NaN
fatigureRatio1,1592897215308,NaN
fatigueRatio2,1592897215308,NaN
betaAverage,1592897215308,NaN
alphaAverage,1592897215308,NaN
thetaAverage,1592897215308,NaN
engagementLevel,1592897215308,NaN
fatigureRatio1,1592897215308,NaN
fatigueRatio2,1592897215308,NaN
betaAverage,1592897215309,NaN
alphaAverage,1592897215309,NaN
thetaAverage,1592897215309,NaN
engagementLevel,1592897215309,NaN
fatigureRatio1,1592897215309,NaN
fatigueRatio2,1592897215309,NaN
betaAverage,1592897215382,NaN
alphaAverage,1592897215382,NaN
thetaAverage,1592897215382,NaN
engagementLevel,1592897215382,NaN
fatigureRatio1,1592897215382,NaN
fatigueRatio2,1592897215382,NaN
betaAverage,1592897215383,NaN
alphaAverage,1592897215383,NaN
thetaAverage,1592897215383,NaN
engagementLevel,1592897215383,NaN
fatigureRatio1,1592897215383,NaN
fatigueRatio2,1592897215383,NaN
betaAverage,1592897215383,NaN
alphaAverage,1592897215383,NaN
thetaAverage,1592897215383,NaN
engagementLevel,1592897215383,NaN
fatigureRatio1,1592897215383,NaN
fatigueRatio2,1592897215384,NaN
betaAverage,1592897215518,NaN
alphaAverage,1592897215519,NaN
thetaAverage,1592897215519,NaN
engagementLevel,1592897215519,NaN
fatigureRatio1,1592897215519,NaN
fatigueRatio2,1592897215519,NaN
betaAverage,1592897215520,NaN
alphaAverage,1592897215520,NaN
thetaAverage,1592897215520,NaN
engagementLevel,1592897215520,NaN
fatigureRatio1,1592897215520,NaN
fatigueRatio2,1592897215520,NaN
betaAverage,1592897215521,NaN
alphaAverage,1592897215521,NaN
thetaAverage,1592897215521,NaN
engagementLevel,1592897215522,NaN
fatigureRatio1,1592897215522,NaN
fatigueRatio2,1592897215522,NaN
betaAverage,1592897215559,NaN
alphaAverage,1592897215559,NaN
thetaAverage,1592897215559,NaN
engagementLevel,1592897215559,NaN
fatigureRatio1,1592897215559,NaN
fatigueRatio2,1592897215559,NaN
betaAverage,1592897215560,NaN
alphaAverage,1592897215560,NaN
thetaAverage,1592897215560,NaN
engagementLevel,1592897215560,NaN
fatigureRatio1,1592897215560,NaN
fatigueRatio2,1592897215560,NaN
betaAverage,1592897215561,NaN
alphaAverage,1592897215561,NaN
thetaAverage,1592897215561,NaN
engagementLevel,1592897215561,NaN
fatigureRatio1,1592897215561,NaN
fatigueRatio2,1592897215561,NaN
betaAverage,1592897215744,NaN
alphaAverage,1592897215744,NaN
thetaAverage,1592897215744,NaN
engagementLevel,1592897215744,NaN
fatigureRatio1,1592897215744,NaN
fatigueRatio2,1592897215744,NaN
betaAverage,1592897215745,NaN
alphaAverage,1592897215745,NaN
thetaAverage,1592897215745,NaN
engagementLevel,1592897215745,NaN
fatigureRatio1,1592897215745,NaN
fatigueRatio2,1592897215745,NaN
betaAverage,1592897215747,NaN
alphaAverage,1592897215749,NaN
thetaAverage,1592897215749,NaN
engagementLevel,1592897215749,NaN
fatigureRatio1,1592897215750,NaN
fatigueRatio2,1592897215750,NaN
betaAverage,1592897215826,NaN
alphaAverage,1592897215826,NaN
thetaAverage,1592897215826,NaN
engagementLevel,1592897215826,NaN
fatigureRatio1,1592897215826,NaN
fatigueRatio2,1592897215826,NaN
betaAverage,1592897215827,NaN
alphaAverage,1592897215827,NaN
thetaAverage,1592897215827,NaN
engagementLevel,1592897215827,NaN
fatigureRatio1,1592897215827,NaN
fatigueRatio2,1592897215827,NaN
betaAverage,1592897215828,NaN
alphaAverage,1592897215828,NaN
thetaAverage,1592897215828,NaN
engagementLevel,1592897215828,NaN
fatigureRatio1,1592897215828,NaN
fatigueRatio2,1592897215828,NaN
betaAverage,1592897215880,NaN
alphaAverage,1592897215880,NaN
thetaAverage,1592897215880,NaN
engagementLevel,1592897215880,NaN
fatigureRatio1,1592897215880,NaN
fatigueRatio2,1592897215881,NaN
betaAverage,1592897215881,NaN
alphaAverage,1592897215881,NaN
thetaAverage,1592897215881,NaN
engagementLevel,1592897215881,NaN
fatigureRatio1,1592897215881,NaN
fatigueRatio2,1592897215881,NaN
betaAverage,1592897215881,NaN
alphaAverage,1592897215881,NaN
thetaAverage,1592897215881,NaN
engagementLevel,1592897215881,NaN
fatigureRatio1,1592897215881,NaN
fatigueRatio2,1592897215882,NaN
betaAverage,1592897216010,NaN
alphaAverage,1592897216010,NaN
thetaAverage,1592897216010,NaN
engagementLevel,1592897216010,NaN
fatigureRatio1,1592897216011,NaN
fatigueRatio2,1592897216011,NaN
betaAverage,1592897216012,NaN
alphaAverage,1592897216012,NaN
thetaAverage,1592897216012,NaN
engagementLevel,1592897216012,NaN
fatigureRatio1,1592897216012,NaN
fatigueRatio2,1592897216012,NaN
betaAverage,1592897216013,NaN
alphaAverage,1592897216013,NaN
thetaAverage,1592897216013,NaN
engagementLevel,1592897216013,NaN
fatigureRatio1,1592897216014,NaN
fatigueRatio2,1592897216014,NaN
betaAverage,1592897216069,NaN
alphaAverage,1592897216069,NaN
thetaAverage,1592897216069,NaN
engagementLevel,1592897216069,NaN
fatigureRatio1,1592897216069,NaN
fatigueRatio2,1592897216069,NaN
betaAverage,1592897216069,NaN
alphaAverage,1592897216069,NaN
thetaAverage,1592897216069,NaN
engagementLevel,1592897216069,NaN
fatigureRatio1,1592897216070,NaN
fatigueRatio2,1592897216070,NaN
betaAverage,1592897216070,NaN
alphaAverage,1592897216070,NaN
thetaAverage,1592897216070,NaN
engagementLevel,1592897216070,NaN
fatigureRatio1,1592897216070,NaN
fatigueRatio2,1592897216070,NaN
betaAverage,1592897216201,NaN
alphaAverage,1592897216202,NaN
thetaAverage,1592897216202,NaN
engagementLevel,1592897216202,NaN
fatigureRatio1,1592897216202,NaN
fatigueRatio2,1592897216203,NaN
betaAverage,1592897216204,NaN
alphaAverage,1592897216204,NaN
thetaAverage,1592897216204,NaN
engagementLevel,1592897216204,NaN
fatigureRatio1,1592897216205,NaN
fatigueRatio2,1592897216205,NaN
betaAverage,1592897216206,NaN
alphaAverage,1592897216206,NaN
thetaAverage,1592897216206,NaN
engagementLevel,1592897216206,NaN
fatigureRatio1,1592897216206,NaN
fatigueRatio2,1592897216206,NaN
betaAverage,1592897216308,NaN
alphaAverage,1592897216308,NaN
thetaAverage,1592897216308,NaN
engagementLevel,1592897216308,NaN
fatigureRatio1,1592897216308,NaN
fatigueRatio2,1592897216308,NaN
betaAverage,1592897216309,NaN
alphaAverage,1592897216309,NaN
thetaAverage,1592897216309,NaN
engagementLevel,1592897216309,NaN
fatigureRatio1,1592897216309,NaN
fatigueRatio2,1592897216309,NaN
betaAverage,1592897216310,NaN
alphaAverage,1592897216310,NaN
thetaAverage,1592897216310,NaN
engagementLevel,1592897216310,NaN
fatigureRatio1,1592897216310,NaN
fatigueRatio2,1592897216310,NaN
betaAverage,1592897216423,NaN
