data_type,timestamp,EEG1,EEG2,EEG3,EEG4
alpha_absolute,1580237511665300,0.0,0.0,0.0,0.0
beta_absolute,1580237511667826,0.0,0.0,0.0,0.0
theta_absolute,1580237511669509,0.0,0.0,0.0,0.0
alpha_relative,1580237511670976,NaN,NaN,NaN,NaN
beta_relative,1580237511672283,NaN,NaN,NaN,NaN
theta_relative,1580237511673707,NaN,NaN,NaN,NaN
isGood,1580237511676804,0.0,0.0,0.0,0.0
quality,1580237511677668,4.0,4.0,4.0,4.0
alpha_absolute,1580237511743715,0.0,0.0,0.0,0.0
beta_absolute,1580237511744713,0.0,0.0,0.0,0.0
theta_absolute,1580237511745566,0.0,0.0,0.0,0.0
alpha_relative,1580237511746492,NaN,NaN,NaN,NaN
beta_relative,1580237511747455,NaN,NaN,NaN,NaN
theta_relative,1580237511748430,NaN,NaN,NaN,NaN
isGood,1580237511751375,0.0,0.0,0.0,0.0
quality,1580237511752043,4.0,4.0,4.0,4.0
alpha_absolute,1580237511855091,0.0,0.0,0.0,0.0
beta_absolute,1580237511856548,0.0,0.0,0.0,0.0
theta_absolute,1580237511857839,0.0,0.0,0.0,0.0
alpha_relative,1580237511859135,NaN,NaN,NaN,NaN
beta_relative,1580237511863520,NaN,NaN,NaN,NaN
theta_relative,1580237511865373,NaN,NaN,NaN,NaN
isGood,1580237511866279,0.0,0.0,0.0,0.0
quality,1580237511867011,4.0,4.0,4.0,4.0
alpha_absolute,1580237511977012,0.0,0.0,0.0,0.0
beta_absolute,1580237511978209,0.0,0.0,0.0,0.0
theta_absolute,1580237511979085,0.0,0.0,0.0,0.0
alpha_relative,1580237511981465,NaN,NaN,NaN,NaN
beta_relative,1580237511984446,NaN,NaN,NaN,NaN
theta_relative,1580237511986007,NaN,NaN,NaN,NaN
isGood,1580237511987120,0.0,0.0,0.0,0.0
quality,1580237511987906,4.0,4.0,4.0,4.0
alpha_absolute,1580237512058440,0.0,0.0,0.0,0.0
beta_absolute,1580237512059737,0.0,0.0,0.0,0.0
theta_absolute,1580237512060866,0.0,0.0,0.0,0.0
alpha_relative,1580237512061984,NaN,NaN,NaN,NaN
beta_relative,1580237512063048,NaN,NaN,NaN,NaN
theta_relative,1580237512063965,NaN,NaN,NaN,NaN
isGood,1580237512064976,0.0,0.0,0.0,0.0
quality,1580237512065810,4.0,4.0,4.0,4.0
alpha_absolute,1580237512162287,0.0,0.0,0.0,0.0
beta_absolute,1580237512163677,0.0,0.0,0.0,0.0
theta_absolute,1580237512166723,0.0,0.0,0.0,0.0
alpha_relative,1580237512168798,NaN,NaN,NaN,NaN
