data_type,timestamp,value
betaAverage,1592902992264,0.0
alphaAverage,1592902992264,NaN
thetaAverage,1592902992264,0.0
engagementLevel,1592902992264,NaN
fatigureRatio1,1592902992265,NaN
fatigueRatio2,1592902992266,NaN
betaAverage,1592902992268,NaN
alphaAverage,1592902992268,NaN
thetaAverage,1592902992268,0.0
engagementLevel,1592902992268,NaN
fatigureRatio1,1592902992268,NaN
fatigueRatio2,1592902992268,NaN
betaAverage,1592902992269,NaN
alphaAverage,1592902992269,NaN
thetaAverage,1592902992269,NaN
engagementLevel,1592902992269,NaN
fatigureRatio1,1592902992269,NaN
fatigueRatio2,1592902992269,NaN
betaAverage,1592902992370,NaN
alphaAverage,1592902992370,NaN
thetaAverage,1592902992370,NaN
engagementLevel,1592902992370,NaN
fatigureRatio1,1592902992370,NaN
fatigueRatio2,1592902992370,NaN
betaAverage,1592902992370,NaN
alphaAverage,1592902992370,NaN
thetaAverage,1592902992370,NaN
engagementLevel,1592902992370,NaN
fatigureRatio1,1592902992371,NaN
fatigueRatio2,1592902992371,NaN
betaAverage,1592902992371,NaN
alphaAverage,1592902992371,NaN
thetaAverage,1592902992371,NaN
engagementLevel,1592902992371,NaN
fatigureRatio1,1592902992371,NaN
fatigueRatio2,1592902992371,NaN
betaAverage,1592902992463,NaN
alphaAverage,1592902992463,NaN
thetaAverage,1592902992463,NaN
engagementLevel,1592902992463,NaN
fatigureRatio1,1592902992463,NaN
fatigueRatio2,1592902992463,NaN
betaAverage,1592902992464,NaN
alphaAverage,1592902992464,NaN
thetaAverage,1592902992464,NaN
engagementLevel,1592902992464,NaN
fatigureRatio1,1592902992464,NaN
fatigueRatio2,1592902992464,NaN
betaAverage,1592902992465,NaN
alphaAverage,1592902992465,NaN
thetaAverage,1592902992465,NaN
engagementLevel,1592902992465,NaN
fatigureRatio1,1592902992465,NaN
fatigueRatio2,1592902992466,NaN
betaAverage,1592902992540,NaN
alphaAverage,1592902992540,NaN
thetaAverage,1592902992540,NaN
engagementLevel,1592902992540,NaN
fatigureRatio1,1592902992540,NaN
fatigueRatio2,1592902992540,NaN
betaAverage,1592902992540,NaN
alphaAverage,1592902992540,NaN
thetaAverage,1592902992540,NaN
engagementLevel,1592902992541,NaN
fatigureRatio1,1592902992541,NaN
fatigueRatio2,1592902992541,NaN
betaAverage,1592902992541,NaN
alphaAverage,1592902992541,NaN
thetaAverage,1592902992541,NaN
engagementLevel,1592902992541,NaN
fatigureRatio1,1592902992541,NaN
fatigueRatio2,1592902992541,NaN
betaAverage,1592902992684,NaN
alphaAverage,1592902992684,NaN
thetaAverage,1592902992684,NaN
engagementLevel,1592902992684,NaN
fatigureRatio1,1592902992684,NaN
fatigueRatio2,1592902992684,NaN
betaAverage,1592902992685,NaN
alphaAverage,1592902992685,NaN
thetaAverage,1592902992685,NaN
